,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
59897,Vacant/Abandoned Building,17-07182413,2017-10-25,Front,,Open,,Vacant,False,False,7727.0,S,CHAMPLAIN,AVE,60619.0,1181903.19206712,1853915.86066733,6.0,6.0,69.0,41.754371066477816,-87.60894791089355,"(41.75437106647782, -87.60894791089355)"
59898,Vacant/Abandoned Building,17-07016538,2017-10-18,Front,,Open,"REAR DOOR,",Vacant,False,True,9121.0,S,DREXEL,AVE,60619.0,1184151.68713061,1844607.23987242,8.0,4.0,47.0,41.72877496316656,-87.60099827983723,"(41.72877496316656, -87.60099827983723)"
59899,Vacant/Abandoned Building,17-07031070,2017-10-19,,,,,,,,7957.0,S,COLFAX,AVE,60617.0,1194897.67589845,1852709.3501183,7.0,4.0,46.0,41.750750203827394,-87.56136772583801,"(41.750750203827394, -87.56136772583801)"
59900,Vacant/Abandoned Building,17-07031530,2017-10-19,Front,,Open,SIDE DOOR,Vacant,False,False,7220.0,S,PERRY,AVE,60621.0,1176646.91331771,1857115.50481937,6.0,7.0,69.0,41.763271091826546,-87.62811426354256,"(41.76327109182655, -87.62811426354256)"
59901,Vacant/Abandoned Building,17-07052343,2017-10-20,Rear,,Open,REA,Vacant,False,False,453.0,E,83RD,ST,60619.0,1180854.7798917,1850068.89202777,6.0,6.0,44.0,41.7438387160248,-87.61290801653776,"(41.743838716024804, -87.61290801653777)"
59902,Vacant/Abandoned Building,17-07059364,2017-10-20,,,,,,,,7222.0,S,CHAMPLAIN,AVE,60619.0,1181814.28268142,1857273.27328173,6.0,3.0,69.0,41.76358621060999,-87.60917015939013,"(41.76358621060999, -87.60917015939012)"
59903,Vacant/Abandoned Building,17-07060015,2017-10-20,Garage,,Open,GARAGE OPEN,Vacant,False,True,8235.0,S,WABASH,AVE,60619.0,1178143.25256759,1850418.25331517,6.0,6.0,44.0,41.74485927021894,-87.62283264399944,"(41.74485927021894, -87.62283264399944)"
59904,Vacant/Abandoned Building,17-07102482,2017-10-22,Front,,Open,REAR PATIO DOOR KICKED IN ... GLASS ALL OER,Vacant,False,True,8500.0,S,RHODES,AVE,60619.0,1181279.65786619,1848748.27270218,6.0,6.0,44.0,41.74020501473607,-87.61139183612913,"(41.74020501473607, -87.61139183612914)"
59905,Vacant/Abandoned Building,17-07115717,2017-10-22,Front,,Open,REAR,Vacant,False,False,8245.0,S,SAGINAW,AVE,60617.0,1195270.57588989,1850811.80427756,7.0,4.0,46.0,41.745533999623795,-87.56006376024428,"(41.7455339996238, -87.56006376024428)"
59906,Vacant/Abandoned Building,17-07121480,2017-10-23,,,,,,,,7528.0,S,PRAIRIE,AVE,60619.0,1179341.82818006,1855156.90147973,6.0,6.0,69.0,41.75783541725768,-87.61829662475346,"(41.757835417257674, -87.61829662475346)"
59907,Vacant/Abandoned Building,17-06852723,2017-10-12,Front,,Open,FRONT AND BACK,Vacant,False,True,8011.0,S,PAXTON,AVE,60617.0,1192252.70448808,1852284.69953137,8.0,4.0,46.0,41.74964963913616,-87.57107377039594,"(41.74964963913616, -87.57107377039596)"
59908,Vacant/Abandoned Building,17-06854364,2017-10-12,Front,,Open,,Vacant,False,False,831.0,N,LAWNDALE,AVE,60651.0,1151567.31861408,1905294.20690853,27.0,11.0,23.0,41.89600727340324,-87.71877325818035,"(41.89600727340324, -87.71877325818036)"
59909,Vacant/Abandoned Building,17-06983463,2017-10-17,Rear,,Open,,Vacant,False,False,7809.0,S,CRANDON,AVE,60649.0,1192888.21571282,1853639.10842484,7.0,4.0,43.0,41.75335077571647,-87.56870092875769,"(41.75335077571647, -87.56870092875769)"
59910,Vacant/Abandoned Building,17-06513033,2017-09-29,Rear,,Open,,Vacant,False,False,3815.0,S,ASHLAND,AVE,60609.0,1166251.3250201999,1879534.86519924,11.0,9.0,59.0,41.82502007437861,-87.66557781583202,"(41.825020074378614, -87.66557781583201)"
59911,Vacant/Abandoned Building,17-06953473,2017-10-16,Front,,Boarded,,Vacant,False,False,1301.0,W,59TH,ST,60636.0,1168656.80556575,1865643.9263116,16.0,7.0,67.0,41.786850170064525,-87.6571537313706,"(41.78685017006452, -87.65715373137061)"
59912,Vacant/Abandoned Building,17-05823409,2017-08-31,Rear,,Boarded,,Vacant,False,False,10105.0,S,LAFAYETTE,AVE,60628.0,1177706.35613139,1837966.25267479,9.0,5.0,49.0,41.71069926869263,-87.62480903857319,"(41.71069926869263, -87.62480903857319)"
59913,Vacant/Abandoned Building,17-05540163,2017-08-18,,,,,,,,3639.0,W,85TH,ST,60652.0,1153569.33788954,1847970.77896677,18.0,8.0,70.0,41.7386644997404,-87.71294027204733,"(41.738664499740395, -87.71294027204733)"
59914,Vacant/Abandoned Building,17-03077803,2017-05-15,Front,,Open,,Vacant,False,True,4852.0,W,RICE,ST,60651.0,1143850.76321725,1905216.09376674,37.0,15.0,25.0,41.89594110056217,-87.74711682406874,"(41.895941100562176, -87.74711682406873)"
59915,Vacant/Abandoned Building,17-07236699,2017-10-27,Front,,Open,,Vacant,False,False,45.0,E,61ST,ST,60637.0,1177762.98518498,1864584.15777634,20.0,3.0,40.0,41.78374068663754,-87.62379782910904,"(41.78374068663754, -87.62379782910905)"
59916,Vacant/Abandoned Building,17-07238368,2017-10-27,,,,,,,,1163.0,W,18TH,ST,60608.0,1168904.58012663,1891562.89676971,25.0,12.0,31.0,41.857969098957696,-87.65549552134462,"(41.857969098957696, -87.65549552134462)"
59917,Vacant/Abandoned Building,17-07241601,2017-10-27,Rear,,Open,REAR,Vacant,False,False,6731.0,S,EVANS,AVE,60637.0,1182375.97420097,1860544.42011291,20.0,3.0,42.0,41.772549565473035,-87.6070102176313,"(41.772549565473035, -87.6070102176313)"
59918,Vacant/Abandoned Building,17-07244073,2017-10-27,Front,,Open,,Vacant,False,True,4900.0,S,KIMBARK,AVE,60615.0,1185505.62058816,1872768.32848129,4.0,2.0,39.0,41.80601986154581,-87.59515321857401,"(41.80601986154581, -87.595153218574)"
59919,Vacant/Abandoned Building,17-07276419,2017-10-29,Rear,,Open,1ST AND 2ND FLOOR BACK DOOR OPEN,Vacant,False,True,6565.0,S,GREEN,ST,60621.0,1171766.91018875,1861313.13402516,20.0,7.0,68.0,41.77489829086882,-87.64587738746485,"(41.77489829086882, -87.64587738746485)"
59920,Vacant/Abandoned Building,17-07151905,2017-10-24,Front,,Open,FRONT OF BUILDING,Vacant,False,True,1508.0,E,75TH,ST,60619.0,1187587.38350905,1855559.41818916,8.0,3.0,43.0,41.75874791917188,-87.5880652353975,"(41.75874791917188, -87.5880652353975)"
59921,Vacant/Abandoned Building,17-07155664,2017-10-24,Front,,Open,1ST FLOOR FRONT DOOR IS OPEN,Vacant,False,False,9138.0,S,AVALON,AVE,60619.0,1186130.91517573,1844637.07939,8.0,4.0,47.0,41.72881040845348,-87.59374706511538,"(41.72881040845348, -87.59374706511537)"
59922,Vacant/Abandoned Building,17-07206221,2017-10-26,Front,,Open,FRONT DOOR AND AROUND THE BACK. THE DOOR IS KEPT PROPPED UP TO GIVE ILLUSION IT IS CLOSED,Vacant,True,True,1534.0,W,51ST,ST,60609.0,1166858.8956023,1870907.70269301,20.0,9.0,61.0,41.801333211739404,-87.66359548115503,"(41.80133321173941, -87.66359548115503)"
59923,Vacant/Abandoned Building,17-07215442,2017-10-26,Front,,Open,,Vacant,False,True,720.0,E,90TH,PL,60619.0,1182617.44462074,1845126.71398537,8.0,6.0,44.0,41.730236143243864,-87.60660243685369,"(41.73023614324386, -87.60660243685368)"
59924,Vacant/Abandoned Building,17-07042778,2017-10-19,Front,,Open,FRONT,Vacant,False,False,6600.0,S,CHAMPLAIN,AVE,60637.0,1181701.74553164,1861394.07838532,20.0,3.0,42.0,41.77489670912424,-87.60945551081167,"(41.77489670912424, -87.60945551081167)"
59925,Vacant/Abandoned Building,17-07121055,2017-10-23,Front,,Open,,Vacant,False,True,4816.0,W,DEMING,PL,60639.0,1143857.80508611,1916534.30241364,31.0,25.0,19.0,41.92699934159489,-87.74680669529863,"(41.926999341594886, -87.74680669529863)"
59926,Vacant/Abandoned Building,17-06794712,2017-10-10,Front,,Open,SIDE DOOR,Vacant,False,True,1336.0,N,KILDARE,AVE,60651.0,1147463.5290288,1908658.90998842,26.0,25.0,23.0,41.90532004782069,-87.7337593893481,"(41.90532004782069, -87.7337593893481)"
59927,Vacant/Abandoned Building,17-05668471,2017-08-24,Front,,Open,FRONT,Vacant,False,False,3547.0,W,SHAKESPEARE,AVE,60647.0,1152414.5043799998,1914060.41989288,35.0,14.0,22.0,41.92004587922215,-87.71542976860123,"(41.92004587922215, -87.71542976860123)"
59928,Vacant/Abandoned Building,17-05306410,2017-08-09,Front,,Open,FRONT DOOR IS OPEN,Vacant,False,True,11115.0,S,EGGLESTON,AVE,60628.0,1175270.29016909,1831198.46557575,34.0,22.0,49.0,41.69218212930216,-87.63393164320559,"(41.692182129302154, -87.6339316432056)"
59929,Vacant/Abandoned Building,17-05474865,2017-08-15,Garage,,Boarded,,Vacant,False,False,2838.0,N,CHRISTIANA,AVE,60618.0,1153562.90000824,1918678.1904696,35.0,14.0,21.0,41.93269463456143,-87.71108722026148,"(41.93269463456143, -87.71108722026149)"
59930,Vacant/Abandoned Building,17-04934505,2017-07-26,Front,,Open,BACK PORCH DOOR,Vacant,True,True,4300.0,W,KAMERLING,AVE,60651.0,1147463.9290288,1908639.10998842,26.0,25.0,23.0,41.90526570690554,-87.73375842837126,"(41.90526570690554, -87.73375842837125)"
59931,Vacant/Abandoned Building,17-04941672,2017-07-26,Front,,Boarded,WINDOWS; ONLY FRONT AND REAR DOOR IS BOARDEDN,Vacant,True,False,6216.0,S,VERNON,AVE,60637.0,1180318.60561833,1863895.0041808998,20.0,3.0,42.0,41.781791330893974,-87.61444921143841,"(41.78179133089398, -87.61444921143841)"
59932,Vacant/Abandoned Building,17-05079158,2017-07-31,Front,,Open,,Vacant,False,True,3838.0,W,ADAMS,ST,60624.0,1150843.37730352,1898738.00068008,28.0,11.0,26.0,41.87803054919118,-87.7216038211656,"(41.87803054919118, -87.7216038211656)"
59933,Vacant/Abandoned Building,17-05102492,2017-08-01,Front,,Boarded,,Vacant,False,True,8508.0,S,ESCANABA,AVE,60617.0,1196962.44730575,1849116.88581092,10.0,4.0,46.0,41.740841124277146,-87.55392082149211,"(41.74084112427715, -87.55392082149213)"
59934,Vacant/Abandoned Building,17-07324284,2017-10-31,Front,,Open,,Vacant,False,False,6029.0,S,THROOP,ST,60636.0,1168690.43552786,1864787.26673076,16.0,7.0,67.0,41.78449866793253,-87.65705513103156,"(41.78449866793253, -87.65705513103154)"
59935,Vacant/Abandoned Building,17-07213815,2017-10-26,Front,,Open,ALL DOORS,Vacant,True,True,2316.0,S,KOLIN,AVE,60623.0,1148014.14940725,1888183.87432153,22.0,10.0,29.0,41.849123600894906,-87.7322634843606,"(41.849123600894906, -87.73226348436059)"
59936,Vacant/Abandoned Building,17-07066332,2017-10-20,Front,,Open,DOORS AND WINDOWS,Vacant,True,True,10517.0,S,STATE,ST,60628.0,1178112.01090537,1835216.11000346,9.0,5.0,49.0,41.70314332915514,-87.6234064886343,"(41.70314332915514, -87.6234064886343)"
59937,Vacant/Abandoned Building,17-06345116,2017-09-22,,,,,,,,4024.0,W,GRENSHAW,ST,60624.0,1149727.11927341,1894736.78036962,24.0,11.0,29.0,41.8670725004393,-87.7258064720637,"(41.8670725004393, -87.7258064720637)"
59938,Vacant/Abandoned Building,17-06367586,2017-09-23,Front,,Open,"GARAGE DOOR IS GONE , GARAGE WIDE OPEN,",Vacant,False,True,10216.0,S,MAY,ST,60643.0,1170457.35297529,1837055.71378601,34.0,22.0,73.0,41.70836122704861,-87.65138271448699,"(41.708361227048606, -87.65138271448699)"
59939,Vacant/Abandoned Building,17-05902827,2017-09-05,Front,,Open,FRONT AND BACK,Vacant,False,False,11636.0,S,ADA,ST,60643.0,1169421.35632459,1827595.31520876,34.0,5.0,53.0,41.682422814278134,-87.65544926811336,"(41.682422814278134, -87.65544926811336)"
59940,Vacant/Abandoned Building,17-05926176,2017-09-06,Rear,,Open,ALL AROUND,Vacant,False,False,1042.0,W,108TH,ST,60643.0,1171165.15810865,1833191.26227797,34.0,22.0,75.0,41.697741163823295,-87.64890315523311,"(41.6977411638233, -87.64890315523313)"
59941,Vacant/Abandoned Building,17-05965090,2017-09-08,Front,,Boarded,CLOSED,Vacant,False,False,11602.0,S,VINCENNES,AVE,60643.0,1165864.54112174,1827923.64431277,34.0,22.0,75.0,41.68339986702778,-87.66846009789879,"(41.68339986702778, -87.66846009789879)"
59942,Vacant/Abandoned Building,17-06050215,2017-09-11,Front,,Open,FRONT DOOR,Vacant,False,True,11604.0,S,VINCENNES,AVE,60643.0,1165858.84112174,1827910.04431277,34.0,22.0,75.0,41.68336266695885,-87.66848134788854,"(41.68336266695885, -87.66848134788854)"
59943,Vacant/Abandoned Building,17-05788267,2017-08-30,Front,,Open,,Vacant,False,False,10742.0,S,BEVERLY,AVE,60643.0,1170503.69108904,1833465.89719122,34.0,22.0,75.0,41.698509204349925,-87.65131713120175,"(41.698509204349925, -87.65131713120175)"
59944,Vacant/Abandoned Building,17-05788974,2017-08-30,Rear,,Open,REAR,Vacant,False,True,12841.0,S,SANGAMON,ST,60643.0,1172345.81682489,1819592.09382785,34.0,5.0,53.0,41.660396992949735,-87.64497802463156,"(41.660396992949735, -87.64497802463157)"
59945,Vacant/Abandoned Building,17-05788978,2017-08-30,Rear,,Open,REAR,Vacant,False,True,12845.0,S,SANGAMON,ST,60643.0,1172346.71682489,1819566.99382785,34.0,5.0,53.0,41.66032809449091,-87.64497546476203,"(41.66032809449091, -87.64497546476201)"
59946,Vacant/Abandoned Building,17-05833439,2017-09-01,Front,,Open,FRONT AND BACK DOOR TAKEN OFF,Vacant,False,True,11745.0,S,UNION,AVE,60628.0,1173575.16271861,1826980.64070278,34.0,5.0,53.0,41.68064535578971,-87.64026197693838,"(41.68064535578971, -87.64026197693839)"
59947,Vacant/Abandoned Building,17-07347860,2017-11-01,Front,,Open,,Vacant,False,False,11743.0,S,UNION,AVE,60628.0,1173574.66271861,1826993.64070278,34.0,5.0,53.0,41.680681040910116,-87.64026342438811,"(41.68068104091012, -87.64026342438811)"
59948,Vacant/Abandoned Building,17-07347876,2017-11-01,Front,,Open,,Vacant,False,False,12843.0,S,SANGAMON,ST,60643.0,1172346.21682489,1819579.59382785,34.0,5.0,53.0,41.660362682024854,-87.64497692620216,"(41.66036268202485, -87.64497692620215)"
59949,Vacant/Abandoned Building,17-07349150,2017-11-01,Front,,Open,,Vacant,False,False,6625.0,S,CARPENTER,ST,60621.0,1170453.65801834,1860882.56891347,6.0,7.0,68.0,41.77374547439482,-87.65070410064024,"(41.77374547439482, -87.65070410064024)"
59950,Vacant/Abandoned Building,17-06646960,2017-10-04,Front,,Open,,Vacant,False,True,2631.0,W,23RD,PL,60608.0,1159192.92147444,1888301.27001428,12.0,10.0,30.0,41.849223709229854,-87.69123279257498,"(41.849223709229854, -87.69123279257497)"
59951,Vacant/Abandoned Building,17-04735828,2017-07-18,Front,,Open,"REAR PORCH, DOOR",Vacant,False,True,1217.0,W,WELLINGTON,AVE,60657.0,1167656.76771761,1920058.51797956,32.0,19.0,6.0,41.936189951049904,-87.65925393664983,"(41.936189951049904, -87.65925393664983)"
59952,Vacant/Abandoned Building,17-04791756,2017-07-20,Front,,Boarded,,Vacant,False,False,5143.0,S,MAY,ST,60609.0,1169524.09139202,1870702.52327798,20.0,9.0,61.0,41.80071277525065,-87.65382719426199,"(41.80071277525065, -87.65382719426199)"
59953,Vacant/Abandoned Building,17-03372980,2017-05-24,Front,,Open,FRONT AND BACK DOORS,Vacant,False,True,4100.0,W,FIFTH,AVE,60624.0,1149159.52261111,1896644.70733145,24.0,11.0,26.0,41.87231907966136,-87.72784080795375,"(41.87231907966136, -87.72784080795377)"
59954,Vacant/Abandoned Building,17-07371670,2017-11-02,Front,,Open,REAR,Vacant,False,False,331.0,N,LARAMIE,AVE,60644.0,1141648.11928337,1901762.07982085,28.0,15.0,25.0,41.88650388319449,-87.75529223651611,"(41.88650388319449, -87.75529223651611)"
59955,Vacant/Abandoned Building,17-07372201,2017-11-02,Front,,Open,FRONT,Vacant,False,False,329.0,N,LARAMIE,AVE,60644.0,1141648.81928337,1901741.77982085,28.0,15.0,25.0,41.88644816456182,-87.75529016806509,"(41.88644816456182, -87.7552901680651)"
59956,Vacant/Abandoned Building,17-07372398,2017-11-02,Front,,Open,REAR,Vacant,False,False,325.0,N,LARAMIE,AVE,60644.0,1141650.20490346,1901701.08501753,28.0,15.0,25.0,41.886336467408654,-87.75528608632455,"(41.88633646740866, -87.75528608632453)"
59957,Vacant/Abandoned Building,17-07406937,2017-11-03,Front,,Open,,Vacant,False,False,10614.0,S,LAFAYETTE,AVE,60628.0,1177806.91819892,1834519.29297675,34.0,5.0,49.0,41.701238061376685,-87.62454466205199,"(41.701238061376685, -87.62454466205199)"
59958,Vacant/Abandoned Building,17-07309640,2017-10-30,Front,,Open,,Vacant,False,False,1942.0,W,GEORGE,ST,60657.0,1162893.69400206,1919269.00008674,32.0,19.0,5.0,41.93412490196229,-87.67678087443468,"(41.93412490196229, -87.67678087443467)"
59959,Vacant/Abandoned Building,17-07323309,2017-10-31,Rear,,Open,ALL AROUND,Vacant,False,False,7924.0,S,SANGAMON,ST,60620.0,1171351.97622789,1852237.71792118,17.0,6.0,71.0,41.75000330430608,-87.64766366204945,"(41.750003304306084, -87.64766366204944)"
59960,Vacant/Abandoned Building,17-07158928,2017-10-24,,,,,,,,6057.0,S,WOLCOTT,AVE,60636.0,1164726.22310997,1864497.20917953,15.0,7.0,67.0,41.78378735388185,-87.67159774327419,"(41.783787353881856, -87.67159774327418)"
59961,Vacant/Abandoned Building,17-07182396,2017-10-25,Rear,,Open,,Vacant,False,True,4639.0,S,VINCENNES,AVE,60653.0,1180399.53471122,1874271.78102191,3.0,2.0,38.0,41.81026427734714,-87.6138340893206,"(41.81026427734714, -87.61383408932059)"
59962,Vacant/Abandoned Building,17-07281455,2017-10-29,Front,,Open,REAR BROKEN INTO,Vacant,False,True,7617.0,S,CARPENTER,ST,60620.0,1170633.69730682,1854307.76778257,17.0,6.0,71.0,41.755699470549786,-87.65023552009183,"(41.75569947054979, -87.65023552009183)"
59963,Vacant/Abandoned Building,17-07040005,2017-10-19,,,,,,,,6537.0,S,SEELEY,AVE,60636.0,1163820.17118808,1861292.43939559,16.0,7.0,67.0,41.77501212748361,-87.67500962183674,"(41.77501212748362, -87.67500962183674)"
59964,Vacant/Abandoned Building,17-07063681,2017-10-20,Front,,Open,FRONT,Vacant,False,False,5721.0,S,HOYNE,AVE,,1163338.88839756,1866698.40569409,15.0,7.0,67.0,41.789856909401976,-87.6766225907823,"(41.789856909401976, -87.67662259078229)"
59965,Vacant/Abandoned Building,17-07122662,2017-10-23,Rear,,Open,GOING IN THROUGH SIDE DOOR,Vacant,False,True,7018.0,S,LAFLIN,ST,60636.0,1167547.72353265,1858195.30097617,17.0,7.0,67.0,41.76643406468838,-87.66143360512993,"(41.76643406468838, -87.66143360512994)"
59966,Vacant/Abandoned Building,17-07129311,2017-10-23,Front,,Boarded,,Vacant,False,False,4801.0,S,WINCHESTER,AVE,60609.0,1164163.5769318,1872836.59762036,15.0,9.0,61.0,41.8066835353296,-87.67342590425751,"(41.806683535329604, -87.6734259042575)"
59967,Vacant/Abandoned Building,17-07130186,2017-10-23,,,,,,,,7919.0,S,UNION,AVE,60620.0,1173007.64701552,1852369.63957817,17.0,6.0,71.0,41.750328947300545,-87.64159268906592,"(41.750328947300545, -87.64159268906592)"
59968,Vacant/Abandoned Building,17-07136657,2017-10-23,Rear,,Open,BACK,Vacant,False,,1500.0,W,73RD,ST,60636.0,1167379.19300091,1856321.56076764,17.0,7.0,67.0,41.761295883613855,-87.66210492637178,"(41.76129588361385, -87.66210492637178)"
59969,Vacant/Abandoned Building,17-07010995,2017-10-18,Rear,,Open,REAR NO FENCE,Vacant,False,True,8714.0,S,WOOD,ST,60620.0,1165866.18399258,1846897.70582535,21.0,22.0,71.0,41.73546773725617,-87.66791734524902,"(41.73546773725617, -87.66791734524901)"
59970,Vacant/Abandoned Building,17-06770621,2017-10-09,Front,,Open,GARAGE,Vacant,False,True,8823.0,S,CARPENTER,ST,60620.0,1170858.34711626,1846316.09350264,21.0,22.0,71.0,41.733764340601404,-87.64964493054994,"(41.73376434060141, -87.64964493054993)"
59971,Vacant/Abandoned Building,17-06800393,2017-10-10,Front,,Open,,Vacant,False,True,8200.0,S,HALSTED,ST,60620.0,1172397.8831858,1850491.6508089001,21.0,6.0,71.0,41.74518893258979,-87.64388227786438,"(41.74518893258979, -87.64388227786438)"
59972,Vacant/Abandoned Building,17-06522566,2017-09-29,,,,,,,,10110.0,S,UNION,AVE,60628.0,1173422.58250287,1837826.7123834998,34.0,22.0,73.0,41.71041200648633,-87.64050114112801,"(41.71041200648633, -87.640501141128)"
59973,Vacant/Abandoned Building,17-06672871,2017-10-05,Rear,,Open,,Vacant,False,False,10106.0,S,UNION,AVE,60628.0,1173421.78250287,1837853.5123834999,34.0,22.0,73.0,41.710485567265785,-87.64050328117243,"(41.710485567265785, -87.64050328117243)"
59974,Vacant/Abandoned Building,17-06679352,2017-10-05,Garage,,Open,GARAGE,Vacant,False,True,8223.0,S,MARSHFIELD,AVE,60620.0,1166772.8032002,1850179.60767474,21.0,6.0,71.0,41.74445447085385,-87.6645023922292,"(41.744454470853846, -87.66450239222921)"
59975,Vacant/Abandoned Building,17-06422209,2017-09-25,Front,,Open,,Vacant,False,False,9822.0,S,CARPENTER,ST,60643.0,1171055.39039702,1839525.80809636,34.0,22.0,73.0,41.715126520038545,-87.6491207823715,"(41.71512652003855, -87.6491207823715)"
59976,Vacant/Abandoned Building,17-06446652,2017-09-26,Rear,,Boarded,,Vacant,False,True,138.0,W,110TH,PL,60628.0,1177257.55012053,1831677.9564861,34.0,5.0,49.0,41.693453413692076,-87.62664161740696,"(41.693453413692076, -87.62664161740697)"
59977,Vacant/Abandoned Building,17-06448468,2017-09-26,Front,,Open,"REAR DOOR,",Vacant,True,False,11127.0,S,EGGLESTON,AVE,60628.0,1175273.09016909,1831118.16557575,34.0,22.0,49.0,41.69196171158293,-87.63392377910019,"(41.69196171158293, -87.63392377910019)"
59978,Vacant/Abandoned Building,17-06474994,2017-09-27,Front,,Open,2ND FL WINDOW AND 1ST FL WINDOW BROKEN OUT,Vacant,False,False,12445.0,S,PARNELL,AVE,60628.0,1174895.7806835,1822368.88350531,34.0,5.0,53.0,41.66796069997129,-87.63556457397159,"(41.66796069997129, -87.63556457397159)"
59979,Vacant/Abandoned Building,17-06493798,2017-09-28,,,,,,,,1106.0,W,112TH,ST,60643.0,1170950.8857043001,1830531.92538708,34.0,22.0,75.0,41.69044818975737,-87.64976497947218,"(41.69044818975737, -87.64976497947217)"
59980,Vacant/Abandoned Building,17-06493800,2017-09-28,,,,,,,,317.0,W,114TH,ST,60628.0,1176139.96126794,1829332.91542063,34.0,5.0,49.0,41.68704335763027,-87.63080336139393,"(41.68704335763027, -87.63080336139394)"
59981,Vacant/Abandoned Building,17-06122224,2017-09-13,Front,,Open,ALL DOORS AND WINDOWS,Vacant,False,True,10359.0,S,WALLACE,ST,60628.0,1174136.18459915,1836103.63008683,34.0,22.0,49.0,41.70566783162557,-87.63793876364262,"(41.70566783162557, -87.63793876364262)"
59982,Vacant/Abandoned Building,17-06167836,2017-09-15,,,,,,,,10750.0,S,PERRY,AVE,60628.0,1177495.88831717,1834008.3520256002,34.0,5.0,49.0,41.69984298549973,-87.62569891487314,"(41.69984298549973, -87.62569891487314)"
59983,Vacant/Abandoned Building,17-06198718,2017-09-16,Front,,Open,FRONT,Vacant,False,True,11740.0,S,STATE,ST,60628.0,1178362.46468701,1826986.82901351,34.0,5.0,53.0,41.68055532370054,-87.62273797471842,"(41.68055532370054, -87.62273797471842)"
59984,Vacant/Abandoned Building,17-06049375,2017-09-11,Front,,Open,REAR,Vacant,False,True,337.0,W,105TH,ST,60628.0,1175899.04050929,1835298.05078082,34.0,5.0,49.0,41.703417961161044,-87.63150739957605,"(41.70341796116104, -87.63150739957605)"
59985,Vacant/Abandoned Building,17-06053150,2017-09-11,Front,,Open,,Vacant,False,False,10616.0,S,LAFAYETTE,AVE,60628.0,1177803.31819892,1834645.29297675,34.0,5.0,49.0,41.701583904454715,-87.62455404696215,"(41.70158390445471, -87.62455404696216)"
59986,Vacant/Abandoned Building,17-05454968,2017-08-15,,,,,,,,9551.0,S,HARVARD,AVE,60628.0,1175631.52609458,1841582.99332143,21.0,5.0,49.0,41.72067070553992,-87.63229960438788,"(41.720670705539916, -87.63229960438788)"
59987,Vacant/Abandoned Building,17-05469401,2017-08-15,Front,,Open,,Vacant,False,True,11707.0,S,LAFAYETTE,AVE,60628.0,1178014.71887529,1827301.44409452,34.0,5.0,53.0,41.68142653822399,-87.62400140639893,"(41.68142653822399, -87.62400140639892)"
59988,Vacant/Abandoned Building,17-04444840,2017-07-05,Rear,,Boarded,,Vacant,False,True,215.0,W,111TH,PL,60628.0,1176823.61662654,1831004.92832207,34.0,5.0,49.0,41.69161628374186,-87.62825050667917,"(41.69161628374186, -87.62825050667917)"
59989,Vacant/Abandoned Building,17-07480003,2017-11-06,Front,,Open,,Vacant,False,False,166.0,N,LAMON,AVE,60644.0,1143683.79120782,1900744.68611456,28.0,15.0,25.0,41.88367416121138,-87.74784214159644,"(41.88367416121138, -87.74784214159644)"
59990,Vacant/Abandoned Building,17-07244066,2017-10-27,Front,,Open,SIDE WINDOWS,Vacant,False,False,7248.0,S,UNIVERSITY,AVE,60619.0,1185135.78006788,1857183.59076577,5.0,3.0,69.0,41.763262735146256,-87.5969991318286,"(41.763262735146256, -87.5969991318286)"
59991,Vacant/Abandoned Building,17-07359228,2017-11-01,Front,,Open,FRONT,Vacant,False,False,1423.0,W,79TH,ST,60620.0,1168124.04012779,1852361.61669334,17.0,6.0,71.0,41.750413280319854,-87.65948867770729,"(41.75041328031985, -87.65948867770729)"
59992,Vacant/Abandoned Building,17-07156439,2017-10-24,Front,,Open,FRONT,Vacant,False,True,6410.0,S,HONORE,ST,60636.0,1165113.68670437,1862168.36381228,15.0,7.0,67.0,41.77738850936116,-87.67024299978199,"(41.77738850936116, -87.67024299978199)"
59993,Vacant/Abandoned Building,17-06993128,2017-10-17,Front,,Boarded,,Vacant,False,True,4818.0,S,HERMITAGE,AVE,60609.0,1165491.74040878,1872749.31809209,15.0,9.0,61.0,41.80641594275681,-87.66855710662571,"(41.80641594275681, -87.66855710662571)"
59994,Vacant/Abandoned Building,17-06704080,2017-10-06,Rear,,Open,,Vacant,False,False,7300.0,S,LAFAYETTE,AVE,60621.0,1177094.99519434,1856600.2298994,6.0,7.0,69.0,41.761847026780686,-87.62648748616873,"(41.761847026780686, -87.62648748616874)"
